timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,torch_gpu_allocated_gb,torch_gpu_reserved_gb,torch_gpu_max_allocated_gb,nvml_gpu_used_gb,nvml_gpu_total_gb,nvml_gpu_util_percent,nvml_gpu_mem_util_percent,gpu_temp_c,gpu_power_w,run_name,phase,epoch,batch_idx,batch_time_sec,running_loss
1783909785.8246043,7.2,27.317787170410156,1510.354694366455,2.6,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,58,25,45,299.63,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,150,0.007442951202392578,0.6448249059007657
1783909811.5250406,7.2,27.371337890625,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,76,35,44,149.372,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,160,0.007035017013549805,0.6447408451056629
1783909840.5201585,7.1,27.388954162597656,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,42,72.17,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,170,0.047430992126464844,0.6453355488024259
1783909870.877811,7.2,27.40642547607422,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,43,70.456,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,180,0.08535122871398926,0.6450715038657847
1783909941.7211864,7.1,27.628257751464844,1510.354694366455,2.6,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,41,71.301,visual_convnext_tiny_16frames_balanced20k,train,2,0,0.3487277030944824,0.6619873046875
1783909966.1214907,7.2,27.48514175415039,1510.354694366455,2.5,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,89,46,43,71.16,visual_convnext_tiny_16frames_balanced20k,train,2,10,0.2599830627441406,0.6528237082741477
1783909987.9222724,7.1,27.53095245361328,1510.354694366455,2.6,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,26,12,43,72.46,visual_convnext_tiny_16frames_balanced20k,train,2,20,0.29927515983581543,0.6144376482282367
1783910009.4220757,7.0,27.384967803955078,1510.354694366455,2.5,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,100,51,45,84.953,visual_convnext_tiny_16frames_balanced20k,train,2,30,0.260528564453125,0.5421887367002426
1783910046.5232842,7.2,27.24359130859375,1510.354694366455,2.5,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,52,26,45,80.783,visual_convnext_tiny_16frames_balanced20k,train,2,40,0.29549264907836914,0.46500452335287884
1783910069.327813,7.0,27.621097564697266,1510.354694366455,2.6,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,94,49,46,223.959,visual_convnext_tiny_16frames_balanced20k,train,2,50,0.2929704189300537,0.4139887658404369
